"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"LCSC_PART_NUMBER";"LCSC_PRICE_STOCK";"MANUFACTURER_DATASHEET";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_PRICE_STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"AIN";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"";"";"C91153";"https://lcsc.com/product-detail/Screw-terminal_Phoenix-Contact-1729128_C91153.html";"https://datasheet.lcsc.com/lcsc/1810161748_Phoenix-Contact-1729128_C91153.pdf";"Phoenix Contact";"1729128";"";"";"";"";"";"";"";
"AIN1";"";"AK500/2-H";"AK500/2-H";"CONNECTOR";"";"";"";"";"C91153";"https://lcsc.com/product-detail/Screw-terminal_Phoenix-Contact-1729128_C91153.html";"https://datasheet.lcsc.com/lcsc/1810161748_Phoenix-Contact-1729128_C91153.pdf";"Phoenix Contact";"1729128";"";"";"";"";"";"";"";
"C1";"33pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"Capacitores cerámicos de capas múltiples (MLCC) - SMD/SMT WCAP-CSGP 33pF 0603 5% 16V MLCC";"";"";"";"https://www.we-online.com/catalog/datasheet/885012006020.pdf";"Wurth Elektronik";"885012006020";"710-885012006020";"";"https://www.mouser.pe/ProductDetail/Wurth-Elektronik/885012006020?qs=0KOYDY2FL29J9DnfI4btSg%3D%3D";"";"";"30";"C";
"C2";"33pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"Capacitores cerámicos de capas múltiples (MLCC) - SMD/SMT WCAP-CSGP 33pF 0603 5% 16V MLCC";"";"";"";"https://www.we-online.com/catalog/datasheet/885012006020.pdf";"Wurth Elektronik";"885012006020";"710-885012006020";"";"https://www.mouser.pe/ProductDetail/Wurth-Elektronik/885012006020?qs=0KOYDY2FL29J9DnfI4btSg%3D%3D";"";"";"30";"C";
"C3";"22pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"Capacitores cerámicos de capas múltiples (MLCC) - SMD/SMT 16V 22pF C0G 0603 5%";"";"";"";"https://www.mouser.pe/datasheet/2/40/C0GNP0_Dielectric-2952720.pdf";"KYOCERA AVX";"0603YA220JAT2A";"581-0603YA220JAT2A";"";"https://www.mouser.pe/ProductDetail/KYOCERA-AVX/0603YA220JAT2A?qs=gEbkM7q0lx9TTxqV7ITXlA%3D%3D";"";"";"30";"C";
"C4";"22pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"Capacitores cerámicos de capas múltiples (MLCC) - SMD/SMT 16V 22pF C0G 0603 5%";"";"";"";"https://www.mouser.pe/datasheet/2/40/C0GNP0_Dielectric-2952720.pdf";"KYOCERA AVX";"0603YA220JAT2A";"581-0603YA220JAT2A";"";"https://www.mouser.pe/ProductDetail/KYOCERA-AVX/0603YA220JAT2A?qs=gEbkM7q0lx9TTxqV7ITXlA%3D%3D";"";"";"30";"C";
"C5";"C0402C104M4RACTU";"C0402C104M4RACTU";"C0402C104J4RACTU";"SMD Comm X7R, Ceramic, 0.1 uF, 20%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"";"";"SMD Comm X7R, Ceramic, 0.1 uF, 20%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"0.55mm";"";"";"";"KEMET";"C0402C104M4RACTU";"80-C0402C104M4R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104M4RACTU?qs=JZ1tlzCDhS7cY%252B6lsIooCQ%3D%3D";"";"";"";"";"";
"C6";"C0402C104M4RACTU";"C0402C104M4RACTU";"C0402C104J4RACTU";"SMD Comm X7R, Ceramic, 0.1 uF, 20%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"";"";"SMD Comm X7R, Ceramic, 0.1 uF, 20%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"0.55mm";"";"";"";"KEMET";"C0402C104M4RACTU";"80-C0402C104M4R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104M4RACTU?qs=JZ1tlzCDhS7cY%252B6lsIooCQ%3D%3D";"";"";"";"";"";
"C7";"C0603C104M4RAC";"C0603C104M4RAC";"CAPC1608X95N";"Cap Ceramic 0.1uF 16V X7R 20% SMD 0603 125C Bulk";"";"";"Cap Ceramic 0.1uF 16V X7R 20% SMD 0603 125C Bulk";"0.95mm";"";"";"";"KEMET";"C0603C104M4RAC";"80-C0603C104M4RAC";"https://www.mouser.co.uk/ProductDetail/KEMET/C0603C104M4RAC?qs=sykUljcfnH2CXqY4UGVWfw%3D%3D";"";"";"";"";"";
"C8";"C0402C104M4RACTU";"C0402C104M4RACTU";"C0402C104J4RACTU";"SMD Comm X7R, Ceramic, 0.1 uF, 20%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"";"";"SMD Comm X7R, Ceramic, 0.1 uF, 20%, 16 VDC, 40 VDC, 125C, -55C, X7R, SMD, MLCC, Temperature Stable, Class II, 10 % , 5 GOhms, 1.21 mg, 0402, 1mm, 0.5mm, 0.5mm, 0.3mm, 0.3mm, 10000, 78  Weeks, 80";"0.55mm";"";"";"";"KEMET";"C0402C104M4RACTU";"80-C0402C104M4R";"https://www.mouser.co.uk/ProductDetail/KEMET/C0402C104M4RACTU?qs=JZ1tlzCDhS7cY%252B6lsIooCQ%3D%3D";"";"";"";"";"";
